,When,T_a,RH,v_a,p_a
0,2020-12-14 00:00:00,-9.72,24.25,2.405,617.679
1,2020-12-14 00:15:00,-9.96,23.53,3.023,617.596
2,2020-12-14 00:30:00,-9.93,22.84,2.616,617.513
3,2020-12-14 00:45:00,-9.91,22.26,2.358,617.43
4,2020-12-14 01:00:00,-10.18,22.19,3.143,617.348
5,2020-12-14 01:15:00,-10.14,21.59,2.715,617.332
6,2020-12-14 01:30:00,-10.33,22.54,3.237,617.317
7,2020-12-14 01:45:00,-10.4,21.36,3.201,617.302
8,2020-12-14 02:00:00,-10.31,20.52,2.407,617.286
9,2020-12-14 02:15:00,-10.38,21.67,2.602,617.276
10,2020-12-14 02:30:00,-10.52,22.11,3.325,617.266
11,2020-12-14 02:45:00,-10.66,22.11,3.518,617.255
12,2020-12-14 03:00:00,-10.89,23.49,4.563,617.245
13,2020-12-14 03:15:00,-10.97,22.81,4.716,617.185
14,2020-12-14 03:30:00,-11.22,22.97,4.815,617.125
15,2020-12-14 03:45:00,-11.25,21.95,4.163,617.064
16,2020-12-14 04:00:00,-11.38,22.1,5.008,617.004
17,2020-12-14 04:15:00,-11.41,22.73,4.75,616.964
18,2020-12-14 04:30:00,-11.43,22.91,4.58,616.924
19,2020-12-14 04:45:00,-11.43,21.6,5.029,616.884
20,2020-12-14 05:00:00,-11.41,21.89,5.004,616.844
21,2020-12-14 05:15:00,-11.32,19.92,4.603,616.917
22,2020-12-14 05:30:00,-11.29,19.78,4.575,616.989
23,2020-12-14 05:45:00,-11.3,20.41,4.299,617.062
24,2020-12-14 06:00:00,-11.11,18.69,4.691,617.134
25,2020-12-14 06:15:00,-11.28,19.24,4.348,617.207
26,2020-12-14 06:30:00,-11.42,19.99,5.167,617.279
27,2020-12-14 06:45:00,-11.3,19.29,4.71,617.352
28,2020-12-14 07:00:00,-11.45,18.78,5.022,617.425
29,2020-12-14 07:15:00,-11.46,20.14,5.6,617.488
30,2020-12-14 07:30:00,-11.48,18.17,5.038,617.55
31,2020-12-14 07:45:00,-11.32,19.32,5.517,617.613
32,2020-12-14 08:00:00,-11.41,18.75,5.518,617.676
33,2020-12-14 08:15:00,-11.26,17.83,4.995,617.766
34,2020-12-14 08:30:00,-10.97,18.36,4.54,617.856
35,2020-12-14 08:45:00,-10.86,18.94,4.222,617.946
36,2020-12-14 09:00:00,-10.52,18.16,3.92,618.035
37,2020-12-14 09:15:00,-9.92,20.66,2.826,618.148
38,2020-12-14 09:30:00,-10.12,22.04,1.271,618.26
39,2020-12-14 09:45:00,-9.37,21.17,0.988,618.373
40,2020-12-14 10:00:00,-8.85,21.36,1.331,618.485
41,2020-12-14 10:15:00,-8.48,21.12,1.468,618.467
42,2020-12-14 10:30:00,-7.921,18.87,1.29,618.448
43,2020-12-14 10:45:00,-7.415,19.87,1.162,618.43
44,2020-12-14 11:00:00,-7.745,21.32,1.473,618.412
45,2020-12-14 11:15:00,-7.632,23.42,1.419,618.292
46,2020-12-14 11:30:00,-7.198,21.27,1.947,618.172
47,2020-12-14 11:45:00,-7.213,21.49,1.491,618.053
48,2020-12-14 12:00:00,-7.023,25.96,2.05,617.933
49,2020-12-14 12:15:00,-6.635,23.45,1.356,617.849
50,2020-12-14 12:30:00,-6.691,22.51,1.146,617.764
51,2020-12-14 12:45:00,-6.079,19.97,1.292,617.68
52,2020-12-14 13:00:00,-5.59,17.49,2.163,617.595
53,2020-12-14 13:15:00,-5.753,18.54,2.031,617.522
54,2020-12-14 13:30:00,-5.731,18.78,2.77,617.449
55,2020-12-14 13:45:00,-5.734,17.32,1.86,617.376
56,2020-12-14 14:00:00,-5.772,15.3,2.028,617.303
57,2020-12-14 14:15:00,-5.51,15.49,1.812,617.292
58,2020-12-14 14:30:00,-5.309,15.38,3.087,617.28
59,2020-12-14 14:45:00,-5.683,13.57,3.391,617.269
60,2020-12-14 15:00:00,-5.506,13.11,3.661,617.258
61,2020-12-14 15:15:00,-5.312,12.38,2.865,617.266
62,2020-12-14 15:30:00,-5.254,11.83,3.059,617.274
63,2020-12-14 15:45:00,-5.391,11.18,2.284,617.283
64,2020-12-14 16:00:00,-5.363,12.23,1.94,617.291
65,2020-12-14 16:15:00,-5.581,12.13,2.97,617.274
66,2020-12-14 16:30:00,-5.768,14.18,2.458,617.258
67,2020-12-14 16:45:00,-5.797,13.92,3.333,617.241
68,2020-12-14 17:00:00,-5.862,14.9,2.75,617.224
69,2020-12-14 17:15:00,-6.233,16.58,2.742,617.243
70,2020-12-14 17:30:00,-6.491,18.71,2.544,617.261
71,2020-12-14 17:45:00,-6.68,20.69,1.41,617.279
72,2020-12-14 18:00:00,-7.103,21.09,0.801,617.298
73,2020-12-14 18:15:00,-7.299,22.85,0.505,617.349
74,2020-12-14 18:30:00,-7.221,18.78,0.502,617.4
75,2020-12-14 18:45:00,-7.223,17.75,1.192,617.452
76,2020-12-14 19:00:00,-7.021,17.04,1.441,617.504
77,2020-12-14 19:15:00,-7.075,16.93,0.544,617.549
78,2020-12-14 19:30:00,-7.215,18.88,0.79,617.594
79,2020-12-14 19:45:00,-7.268,22.91,0.445,617.639
80,2020-12-14 20:00:00,-7.5,19.22,1.559,617.684
81,2020-12-14 20:15:00,-7.589,19.52,1.164,617.691
82,2020-12-14 20:30:00,-7.558,18.88,0.989,617.698
83,2020-12-14 20:45:00,-7.376,15.47,1.112,617.705
84,2020-12-14 21:00:00,-7.41,16.84,0.801,617.713
85,2020-12-14 21:15:00,-7.566,17.93,1.34,617.757
86,2020-12-14 21:30:00,-7.646,17.83,2.355,617.801
